[GIN] 2022/04/30 - 20:09:57 | 200 |   55.884392ms |    192.168.1.17 | POST     "/auth/login/"
[GIN] 2022/04/30 - 20:09:57 | 200 |     829.135µs |    192.168.1.17 | GET      "/user/rishabh2791/"
[GIN] 2022/04/30 - 20:09:57 | 400 |     897.629µs |    192.168.1.17 | GET      "/user_role_access/Superuser/"
[GIN] 2022/04/30 - 20:09:57 | 200 |    1.494933ms |    192.168.1.17 | GET      "/public/profile_pics/default.jpg"
[GIN] 2022/04/30 - 20:10:37 | 200 |    1.836926ms |    192.168.1.17 | POST     "/auth/logout/"
[GIN] 2022/04/30 - 20:10:45 | 200 |   57.754113ms |    192.168.1.17 | POST     "/auth/login/"
[GIN] 2022/04/30 - 20:10:45 | 200 |     697.013µs |    192.168.1.17 | GET      "/user/rishabh2791/"
[GIN] 2022/04/30 - 20:10:45 | 400 |     533.714µs |    192.168.1.17 | GET      "/user_role_access/Superuser/"
[GIN] 2022/04/30 - 20:15:16 | 200 |    2.852409ms |    192.168.1.17 | GET      "/auth/refresh/"
[GIN] 2022/04/30 - 20:15:16 | 200 |    1.044907ms |    192.168.1.17 | POST     "/auth/logout/"
[GIN] 2022/04/30 - 20:15:24 | 200 |   56.727627ms |    192.168.1.17 | POST     "/auth/login/"
[GIN] 2022/04/30 - 20:15:24 | 200 |     644.763µs |    192.168.1.17 | GET      "/user/rishabh2791/"
[GIN] 2022/04/30 - 20:15:24 | 200 |     656.891µs |    192.168.1.17 | GET      "/user_role_access/5a3322b7-bd22-43e0-a8e2-9fc9df247f60/"
[GIN] 2022/04/30 - 20:16:27 | 200 |    3.116635ms |    192.168.1.17 | GET      "/auth/refresh/"
[GIN] 2022/04/30 - 20:16:27 | 200 |     981.124µs |    192.168.1.17 | POST     "/company/create/"
[GIN] 2022/04/30 - 20:16:27 | 200 |    2.983462ms |    192.168.1.17 | POST     "/user_role/create/multi/"
[GIN] 2022/04/30 - 20:16:27 | 200 |     759.286µs |    192.168.1.17 | GET      "/common/tables/"
[GIN] 2022/04/30 - 20:16:27 | 200 |   20.799911ms |    192.168.1.17 | POST     "/user_role_access/create/multi/"
[GIN] 2022/04/30 - 20:16:27 | 200 |    4.813797ms |    192.168.1.17 | POST     "/image/upload/"
[GIN] 2022/04/30 - 20:16:27 | 200 |   53.031756ms |    192.168.1.17 | POST     "/user/create/"
